id,longitude,latitude,date
FRA 79,27°05.20'W,33°39.54'N,2020-11-13
FRA 109,25°18.56'W,33°59.85'N,2020-11-13
FRA 53,24°51.90'W,34°07.24'N,2020-11-13
FRA 1000,24°59.35'W,34°15.18'N,2020-11-13
FRA 49,24°38.17'W,34°21.78'N,2020-11-13
FRA 17,24°23.75'W,34°23.41'N,2020-11-13
MON 10,24°33.60'W,34°23.67'N,2020-11-13
FRA 18,24°13.62'W,34°31.61'N,2020-11-13
FRA 4,24°59.94'W,35°11.00'N,2020-11-13
FRA 30,25°14.25'W,35°17.85'N,2020-11-13
ITA 34,24°20.45'W,35°20.97'N,2020-11-13
SUI 7,23°34.83'W,35°35.21'N,2020-11-13
JPN 11,22°24.29'W,36°24.56'N,2020-11-13
FRA 92,22°34.40'W,36°27.31'N,2020-11-13
FRA 27,21°48.80'W,36°47.09'N,2020-11-13
FRA 14,22°00.42'W,37°16.19'N,2020-11-13
FRA 71,21°52.79'W,37°25.84'N,2020-11-13
ESP 33,20°27.21'W,37°37.57'N,2020-11-13
GBR 777,22°00.73'W,37°54.97'N,2020-11-13
FRA 50,21°44.79'W,38°15.51'N,2020-11-13
FIN 222,21°23.74'W,38°22.80'N,2020-11-13
FRA 72,19°50.24'W,38°50.66'N,2020-11-13
FRA 83,18°52.06'W,38°46.63'N,2020-11-13
FRA 56,10°13.10'W,42°20.47'N,2020-11-13
FRA 8,06°06.47'W,45°37.40'N,2020-11-13
FRA 01,28°24.48'W,27°17.10'N,2020-11-14
GBR 99,30°15.47'W,27°22.92'N,2020-11-14
FRA 09,26°54.19'W,27°51.67'N,2020-11-14
FRA 85,29°10.07'W,28°25.24'N,2020-11-14
FRA 1000,27°55.67'W,28°35.74'N,2020-11-14
FRA 18,26°24.56'W,28°50.30'N,2020-11-14
FRA 59,29°31.46'W,28°35.17'N,2020-11-14
MON 10,26°53.27'W,28°55.65'N,2020-11-14
FRA 17,27°30.95'W,29°07.74'N,2020-11-14
FRA 109,28°56.42'W,29°09.71'N,2020-11-14
FRA 6,28°39.97'W,29°18.35'N,2020-11-14
FRA 53,26°52.20'W,29°28.03'N,2020-11-14
FRA 49,27°21.95'W,29°26.84'N,2020-11-14
FRA 4,26°00.17'W,29°35.49'N,2020-11-14
FRA 79,31°08.49'W,29°02.29'N,2020-11-14
SUI 7,26°36.98'W,30°32.79'N,2020-11-14
ITA 34,27°30.95'W,30°29.71'N,2020-11-14
FRA 30,27°40.33'W,31°07.61'N,2020-11-14
JPN 11,22°55.57'W,31°11.33'N,2020-11-14
FRA 27,22°28.56'W,31°09.83'N,2020-11-14
FRA 92,26°01.15'W,32°01.28'N,2020-11-14
FRA 14,25°01.90'W,32°58.60'N,2020-11-14
ESP 33,21°44.03'W,33°27.44'N,2020-11-14
GBR 777,21°53.10'W,33°31.15'N,2020-11-14
FRA 71,24°00.56'W,34°02.04'N,2020-11-14
FRA 50,22°32.87'W,36°40.31'N,2020-11-14
FIN 222,22°40.82'W,36°41.32'N,2020-11-14
FRA 72,20°41.34'W,37°08.93'N,2020-11-14
FRA 83,18°27.59'W,37°18.37'N,2020-11-14
FRA 56,13°08.78'W,39°39.55'N,2020-11-14
FRA 8,01°47.45'W,46°30.11'N,2020-11-14
GBR 99,29°51.73'W,20°58.44'N,2020-11-15
FRA 01,28°09.38'W,21°57.64'N,2020-11-15
FRA 59,29°23.38'W,23°13.00'N,2020-11-15
FRA 09,27°46.93'W,23°40.73'N,2020-11-15
FRA 85,27°48.40'W,23°45.58'N,2020-11-15
FRA 79,29°47.62'W,23°50.48'N,2020-11-15
FRA 1000,27°18.56'W,24°33.35'N,2020-11-15
FRA 18,27°27.35'W,24°33.53'N,2020-11-15
FRA 17,28°10.21'W,24°49.25'N,2020-11-15
FRA 6,28°45.93'W,24°50.70'N,2020-11-15
FRA 109,29°15.88'W,24°49.62'N,2020-11-15
MON 10,29°03.57'W,25°01.13'N,2020-11-15
FRA 49,27°23.44'W,26°03.86'N,2020-11-15
FRA 53,28°13.99'W,26°05.78'N,2020-11-15
FRA 4,27°36.87'W,26°25.98'N,2020-11-15
FRA 27,24°51.66'W,26°53.32'N,2020-11-15
ITA 34,29°06.15'W,27°00.87'N,2020-11-15
SUI 7,27°55.59'W,27°12.47'N,2020-11-15
FRA 30,27°22.26'W,27°27.83'N,2020-11-15
FRA 92,27°22.76'W,28°19.82'N,2020-11-15
GBR 777,23°28.71'W,28°36.64'N,2020-11-15
JPN 11,22°44.25'W,28°35.64'N,2020-11-15
ESP 33,23°35.12'W,28°47.75'N,2020-11-15
FRA 14,26°52.11'W,29°08.25'N,2020-11-15
FRA 71,22°37.96'W,29°52.98'N,2020-11-15
FRA 50,21°32.71'W,33°30.62'N,2020-11-15
FIN 222,21°25.84'W,33°37.03'N,2020-11-15
FRA 72,21°34.72'W,34°19.20'N,2020-11-15
FRA 83,18°40.72'W,34°41.78'N,2020-11-15
FRA 56,16°42.82'W,38°34.78'N,2020-11-15
FRA 8,01°47.45'W,46°30.11'N,2020-11-15
GBR 99,29°41.57'W,12°55.27'N,2020-11-16
FRA 01,28°32.58'W,14°43.22'N,2020-11-16
FRA 59,29°52.25'W,14°53.17'N,2020-11-16
FRA 79,29°30.67'W,15°45.21'N,2020-11-16
FRA 85,28°20.14'W,16°20.04'N,2020-11-16
FRA 09,28°43.31'W,17°04.67'N,2020-11-16
FRA 18,29°06.17'W,17°28.39'N,2020-11-16
FRA 109,29°45.38'W,17°33.34'N,2020-11-16
FRA 1000,27°57.80'W,17°58.86'N,2020-11-16
FRA 17,28°15.57'W,17°59.07'N,2020-11-16
MON 10,29°32.22'W,17°50.64'N,2020-11-16
FRA 6,28°49.56'W,19°23.19'N,2020-11-16
FRA 4,27°52.25'W,19°32.51'N,2020-11-16
FRA 49,27°43.64'W,20°31.40'N,2020-11-16
FRA 53,29°19.34'W,20°41.50'N,2020-11-16
ITA 34,29°55.97'W,21°46.37'N,2020-11-16
FRA 27,26°13.88'W,23°05.62'N,2020-11-16
FRA 30,28°06.07'W,23°11.12'N,2020-11-16
SUI 7,28°42.89'W,23°29.10'N,2020-11-16
FRA 92,27°31.08'W,25°15.58'N,2020-11-16
GBR 777,23°43.25'W,26°45.94'N,2020-11-16
ESP 33,24°00.37'W,27°02.10'N,2020-11-16
FRA 14,26°46.81'W,27°14.76'N,2020-11-16
FRA 71,23°30.23'W,27°33.38'N,2020-11-16
JPN 11,22°18.53'W,27°41.70'N,2020-11-16
FRA 50,21°53.26'W,30°08.51'N,2020-11-16
FIN 222,21°30.82'W,30°13.04'N,2020-11-16
FRA 72,21°17.60'W,30°34.28'N,2020-11-16
FRA 83,20°32.03'W,31°34.71'N,2020-11-16
FRA 56,18°34.45'W,34°58.72'N,2020-11-16
FRA 8,01°47.45'W,46°30.11'N,2020-11-16
GBR 99,28°54.40'W,05°41.16'N,2020-11-17
FRA 59,28°54.87'W,07°11.21'N,2020-11-17
FRA 01,28°04.74'W,07°53.52'N,2020-11-17
FRA 79,28°36.13'W,08°02.08'N,2020-11-17
FRA 85,28°41.69'W,09°37.64'N,2020-11-17
FRA 18,28°53.29'W,10°17.17'N,2020-11-17
MON 10,28°42.16'W,10°42.64'N,2020-11-17
FRA 09,28°51.01'W,10°47.68'N,2020-11-17
FRA 109,29°18.78'W,10°43.92'N,2020-11-17
FRA 17,27°55.66'W,11°27.42'N,2020-11-17
FRA 1000,28°15.20'W,11°35.23'N,2020-11-17
FRA 4,28°07.06'W,12°34.03'N,2020-11-17
FRA 49,27°55.72'W,14°08.55'N,2020-11-17
FRA 53,29°20.07'W,14°02.53'N,2020-11-17
ITA 34,30°05.33'W,14°29.70'N,2020-11-17
FRA 27,27°33.48'W,16°26.05'N,2020-11-17
SUI 7,28°31.33'W,16°42.67'N,2020-11-17
FRA 30,29°13.59'W,16°39.45'N,2020-11-17
FRA 92,27°42.99'W,19°23.66'N,2020-11-17
ESP 33,24°58.05'W,23°28.01'N,2020-11-17
GBR 777,25°47.84'W,23°57.15'N,2020-11-17
FRA 71,24°11.82'W,24°49.67'N,2020-11-17
FRA 14,27°00.17'W,25°53.63'N,2020-11-17
JPN 11,22°44.78'W,27°12.78'N,2020-11-17
FIN 222,22°02.02'W,28°54.21'N,2020-11-17
FRA 50,22°01.13'W,28°57.62'N,2020-11-17
FRA 72,23°16.12'W,29°24.87'N,2020-11-17
FRA 83,22°03.76'W,29°52.57'N,2020-11-17
FRA 56,21°45.74'W,33°53.42'N,2020-11-17
FRA 8,01°47.45'W,46°30.11'N,2020-11-17
GBR 99,30°40.02'W,00°03.00'S,2020-11-18
FRA 59,29°38.16'W,01°37.54'N,2020-11-18
FRA 79,28°58.07'W,02°07.71'N,2020-11-18
FRA 01,28°49.54'W,02°27.53'N,2020-11-18
FRA 85,28°48.85'W,03°35.54'N,2020-11-18
FRA 18,29°22.02'W,03°55.01'N,2020-11-18
FRA 09,28°05.59'W,04°34.35'N,2020-11-18
FRA 109,29°07.90'W,04°21.75'N,2020-11-18
MON 10,29°00.61'W,04°25.85'N,2020-11-18
FRA 17,27°17.86'W,04°55.59'N,2020-11-18
FRA 4,27°07.17'W,05°24.70'N,2020-11-18
FRA 1000,28°00.01'W,05°28.33'N,2020-11-18
ITA 34,29°15.78'W,07°10.89'N,2020-11-18
FRA 53,29°05.83'W,07°41.33'N,2020-11-18
