id;date;longitude;latitude
FRA 14;2020-11-17;-27.0028333333333;25.8938333333333
JPN 11;2020-11-17;-22.7463333333333;27.213
FIN 222;2020-11-17;-22.0336666666667;28.9035
FRA 50;2020-11-17;-22.0188333333333;28.9603333333333
FRA 72;2020-11-17;-23.2686666666667;29.4145
FRA 83;2020-11-17;-22.0626666666667;29.8761666666667
FRA 56;2020-11-17;-21.7623333333333;33.8903333333333
FRA 8;2020-11-17;-1.79083333333333;46.5018333333333
GBR 99;2020-11-18;-30.667;-0.05
FRA 59;2020-11-18;-29.636;1.62566666666667
FRA 79;2020-11-18;-28.9678333333333;2.1285
FRA 01;2020-11-18;-28.8256666666667;2.45883333333333
FRA 85;2020-11-18;-28.8141666666667;3.59233333333333
FRA 18;2020-11-18;-29.367;3.91683333333333
FRA 09;2020-11-18;-28.0931666666667;4.5725
FRA 109;2020-11-18;-29.1316666666667;4.3625
MON 10;2020-11-18;-29.0101666666667;4.43083333333333
FRA 17;2020-11-18;-27.2976666666667;4.9265
FRA 4;2020-11-18;-27.1195;5.41166666666667
FRA 1000;2020-11-18;-28.0001666666667;5.47216666666667
ITA 34;2020-11-18;-29.263;7.1815
FRA 53;2020-11-18;-29.0971666666667;7.68883333333333
FRA 49;2020-11-18;-27.6078333333333;8.28283333333333
FRA 27;2020-11-18;-27.6491666666667;9.84883333333333
SUI 7;2020-11-18;-27.6445;10.3566666666667
FRA 30;2020-11-18;-28.628;10.3646666666667
FRA 92;2020-11-18;-27.3946666666667;13.5366666666667
33 ESP;2020-11-18;-26.1405;18.2976666666667
FRA 14;2020-11-18;-27.7458333333333;19.3873333333333
GBR 777;2020-11-18;-28.1235;19.4405
FRA 71;2020-11-18;-26.7205;20.3095
JPN 11;2020-11-18;-23.4003333333333;24.6495
FIN 222;2020-11-18;-23.6558333333333;25.5385
FRA 72;2020-11-18;-24.532;26.1935
FRA 50;2020-11-18;-24.7493333333333;26.2808333333333
FRA 83;2020-11-18;-23.939;27.5373333333333
FRA 56;2020-11-18;-25.647;30.6613333333333
FRA 8;2020-11-18;-7.03716666666667;45.6898333333333
GBR 99;2020-11-19;-32.3893333333333;-6.85983333333333
FRA 59;2020-11-19;-30.8903333333333;-6.15333333333333
FRA 79;2020-11-19;-30.7545;-5.6105
FRA 01;2020-11-19;-30.1265;-3.91583333333333
FRA 85;2020-11-19;-30.5013333333333;-3.081
FRA 18;2020-11-19;-30.7483333333333;-2.94466666666667
MON 10;2020-11-19;-29.7238333333333;-1.95
FRA 17;2020-11-19;-29.3645;-1.558
FRA 109;2020-11-19;-30.4781666666667;-1.7005
FRA 09;2020-11-19;-28.8443333333333;-0.864333333333333
FRA 4;2020-11-19;-29.201;-0.847166666666667
FRA 1000;2020-11-19;-29.1481666666667;-0.141333333333333
ITA 34;2020-11-19;-29.9588333333333;1.20833333333333
FRA 53;2020-11-19;-29.4571666666667;1.931
FRA 27;2020-11-19;-27.6298333333333;3.97483333333333
FRA 49;2020-11-19;-27.1508333333333;4.275
FRA 30;2020-11-19;-28.3153333333333;4.32266666666667
SUI 7;2020-11-19;-27.414;4.77983333333333
FRA 92;2020-11-19;-27.8261666666667;7.48116666666667
33 ESP;2020-11-19;-27.4306666666667;13.1131666666667
FRA 14;2020-11-19;-28.8135;13.3886666666667
GBR 777;2020-11-19;-29.4463333333333;13.8961666666667
FRA 71;2020-11-19;-28.2035;14.905
JPN 11;2020-11-19;-23.9141666666667;20.6635
FIN 222;2020-11-19;-25.203;20.7438333333333
FRA 50;2020-11-19;-26.0815;20.7273333333333
FRA 72;2020-11-19;-26.0681666666667;21.1375
FRA 83;2020-11-19;-25.7286666666667;22.3675
FRA 56;2020-11-19;-27.3915;24.3011666666667
FRA 8;2020-11-19;-13.7448333333333;42.9643333333333
GBR 99;2020-11-20;-32.5785;-15.1356666666667
FRA 59;2020-11-20;-30.466;-14.1545
FRA 79;2020-11-20;-31.5415;-13.84
FRA 01;2020-11-20;-30.343;-10.4818333333333
FRA 18;2020-11-20;-31.633;-10.4823333333333
FRA 85;2020-11-20;-32.0261666666667;-10.4681666666667
MON 10;2020-11-20;-31.0705;-9.125
FRA 17;2020-11-20;-31.2838333333333;-8.7615
FRA 109;2020-11-20;-32.0861666666667;-8.8855
FRA 4;2020-11-20;-32.5153333333333;-8.5345
FRA 09;2020-11-20;-30.3626666666667;-6.23333333333333
FRA 1000;2020-11-20;-31.0366666666667;-5.62733333333333
ITA 34;2020-11-20;-31.9535;-4.7905
FRA 53;2020-11-20;-30.354;-2.85266666666667
FRA 27;2020-11-20;-29.5158333333333;-1.2115
FRA 49;2020-11-20;-29.3433333333333;-0.364166666666667
FRA 30;2020-11-20;-29.5826666666667;-0.3255
SUI 7;2020-11-20;-28.8618333333333;0.237833333333333
FRA 92;2020-11-20;-28.5878333333333;3.5005
33 ESP;2020-11-20;-27.6155;8.2505
FRA 14;2020-11-20;-28.7133333333333;8.25516666666667
GBR 777;2020-11-20;-29.159;8.665
FRA 71;2020-11-20;-28.6228333333333;9.72
FRA 50;2020-11-20;-27.401;15.6143333333333
FIN 222;2020-11-20;-26.8038333333333;15.9313333333333
FRA 72;2020-11-20;-27.2658333333333;16.0563333333333
FRA 83;2020-11-20;-27.3008333333333;17.1435
JPN 11;2020-11-20;-25.2505;18.043
FRA 56;2020-11-20;-28.8031666666667;17.8678333333333
FRA 8;2020-11-20;-16.2606666666667;36.9786666666667
FRA 59;2020-11-21;-27.464;-22.155
GBR 99;2020-11-21;-28.8811666666667;-22.5815
FRA 79;2020-11-21;-28.7083333333333;-21.6491666666667
FRA 01;2020-11-21;-28.3456666666667;-17.0335
FRA 85;2020-11-21;-31.4171666666667;-17.8786666666667
FRA 18;2020-11-21;-31.3455;-17.6271666666667
MON 10;2020-11-21;-31.2668333333333;-16.8591666666667
FRA 17;2020-11-21;-30.5803333333333;-16.227
FRA 4;2020-11-21;-32.316;-16.7411666666667
FRA 109;2020-11-21;-31.6058333333333;-15.9851666666667
FRA 09;2020-11-21;-29.946;-11.978
FRA 1000;2020-11-21;-30.9723333333333;-11.592
ITA 34;2020-11-21;-32.133;-11.3878333333333
FRA 53;2020-11-21;-30.3705;-8.00083333333333
FRA 27;2020-11-21;-30.5806666666667;-6.10266666666667
FRA 30;2020-11-21;-30.3721666666667;-5.24133333333333
FRA 49;2020-11-21;-30.405;-5.2445
SUI 7;2020-11-21;-30.016;-4.27433333333333
FRA 92;2020-11-21;-30.1066666666667;-0.150666666666667
33 ESP;2020-11-21;-27.5756666666667;6.23483333333333
GBR 777;2020-11-21;-28.9276666666667;6.00616666666667
FRA 14;2020-11-21;-28.7318333333333;6.23433333333333
FRA 71;2020-11-21;-28.2225;6.94433333333333
FRA 72;2020-11-21;-27.5565;12.6033333333333
FRA 50;2020-11-21;-27.7478333333333;12.6151666666667
FIN 222;2020-11-21;-27.4658333333333;13.0116666666667
FRA 83;2020-11-21;-27.5135;13.0548333333333
FRA 56;2020-11-21;-28.9923333333333;13.4086666666667
JPN 11;2020-11-21;-27.1976666666667;15.9861666666667
FRA 8;2020-11-21;-19.0236666666667;31.3368333333333
FRA 59;2020-11-22;-23.7601666666667;-26.336
FRA 79;2020-11-22;-24.3903333333333;-26.2828333333333
GBR 99;2020-11-22;-26.988;-25.1115
FRA 01;2020-11-22;-25.6375;-21.956
FRA 85;2020-11-22;-28.049;-23.2075
MON 10;2020-11-22;-28.5116666666667;-22.6678333333333
FRA 17;2020-11-22;-27.9556666666667;-21.9713333333333
FRA 4;2020-11-22;-29.4588333333333;-22.9026666666667
FRA 18;2020-11-22;-29.6826666666667;-23.0685
FRA 109;2020-11-22;-29.6163333333333;-21.8985
FRA 09;2020-11-22;-28.9553333333333;-17.0398333333333
FRA 1000;2020-11-22;-29.9261666666667;-17.1873333333333
ITA 34;2020-11-22;-30.9465;-17.7236666666667
FRA 53;2020-11-22;-29.8638333333333;-13.522
FRA 27;2020-11-22;-30.1151666666667;-12.8665
FRA 30;2020-11-22;-30.0311666666667;-10.7308333333333
FRA 49;2020-11-22;-30.2216666666667;-10.6205
SUI 7;2020-11-22;-30.4971666666667;-9.99116666666667
FRA 92;2020-11-22;-30.6488333333333;-5.24
GBR 777;2020-11-22;-29.154;3.64933333333333
33 ESP;2020-11-22;-28.2323333333333;3.865
FRA 14;2020-11-22;-29.0365;3.88633333333333
FRA 71;2020-11-22;-28.9816666666667;4.42933333333333
FRA 72;2020-11-22;-27.2363333333333;8.7405
FRA 83;2020-11-22;-27.8381666666667;8.695
FRA 50;2020-11-22;-28.2421666666667;8.95783333333333
FIN 222;2020-11-22;-27.5141666666667;9.32966666666667
FRA 56;2020-11-22;-29.1105;9.0525
JPN 11;2020-11-22;-29.178;13.994
FRA 8;2020-11-22;-19.8023333333333;25.7341666666667
FRA 79;2020-11-23;-21.0086666666667;-29.8496666666667
FRA 59;2020-11-23;-21.4938333333333;-29.6361666666667
FRA 01;2020-11-23;-23.3358333333333;-25.6038333333333
FRA 85;2020-11-23;-24.73;-26.2446666666667
GBR 99;2020-11-23;-26.1003333333333;-26.1078333333333
MON 10;2020-11-23;-25.543;-25.4398333333333
FRA 17;2020-11-23;-25.4201666666667;-25.2168333333333
FRA 18;2020-11-23;-26.743;-26.1108333333333
FRA 4;2020-11-23;-26.6106666666667;-25.3395
FRA 109;2020-11-23;-27.307;-24.9341666666667
FRA 09;2020-11-23;-28.216;-21.6033333333333
FRA 1000;2020-11-23;-28.7816666666667;-21.4248333333333
ITA 34;2020-11-23;-29.2958333333333;-21.6341666666667
FRA 53;2020-11-23;-28.7815;-18.023
FRA 27;2020-11-23;-28.8103333333333;-17.5603333333333
FRA 30;2020-11-23;-29.9503333333333;-16.1265
FRA 49;2020-11-23;-30.4263333333333;-15.7591666666667
SUI 7;2020-11-23;-30.6041666666667;-15.158
FRA 92;2020-11-23;-30.6953333333333;-10.1888333333333
GBR 777;2020-11-23;-30.3101666666667;-0.205333333333333
33 ESP;2020-11-23;-29.3673333333333;0.263833333333333
FRA 14;2020-11-23;-30.3941666666667;0.00516666666666667
FRA 71;2020-11-23;-30.191;0.770833333333333
FRA 72;2020-11-23;-27.3521666666667;6.56216666666667
FRA 50;2020-11-23;-28.5188333333333;6.35333333333333
FRA 83;2020-11-23;-27.9573333333333;6.53833333333333
FIN 222;2020-11-23;-27.1161666666667;6.71483333333333
FRA 56;2020-11-23;-28.9493333333333;6.4705
JPN 11;2020-11-23;-28.663;9.39816666666667
FRA 8;2020-11-23;-20.358;19.6316666666667
FRA 79;2020-11-24;-17.6358333333333;-33.0276666666667
FRA 59;2020-11-24;-18.2486666666667;-31.7161666666667
FRA 01;2020-11-24;-20.8381666666667;-28.9006666666667
FRA 85;2020-11-24;-21.5601666666667;-28.617
FRA 17;2020-11-24;-22.7371666666667;-27.9418333333333
MON 10;2020-11-24;-22.739;-27.9363333333333
FRA 4;2020-11-24;-23.5888333333333;-27.6356666666667
GBR 99;2020-11-24;-25.5785;-27.7803333333333
FRA 18;2020-11-24;-27.653;-29.3575
FRA 109;2020-11-24;-26.9366666666667;-28.0855
